genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_encoded,song_length,genre_encoded
Country,A Thousand Horses,My Time's Comin',16zol4GvHyTER5irYODUk0,45,0.00192,0.327,194107,0.835,0.00015,0,0.167,-4.952,1,0.0609,171.795,4.0,0.385,103,687.18,8
Soundtrack,Mark Mothersbaugh,House Tour,6ac5gUfGTckpdGQCyWsdh2,25,0.932,0.253,102920,0.0798,0.568,0,0.0906,-18.512,1,0.0439,110.931,4.0,0.0487,8228,443.724,25
Reggae,Unified Highway,We Can't Fall (Remix) [feat. J. Patz],09Yz6koF1Y15n1012t1UX6,19,0.0331,0.821,225437,0.737,0.0134,4,0.132,-6.295,0,0.212,137.968,4.0,0.787,13592,551.872,20
Electronic,Stooki Sound,Endz - Original Mix,3dzEZARDL4ZwICMKVta7Xn,29,0.00428,0.745,225400,0.772,0.114,4,0.0722,-3.949,1,0.0904,133.113,4.0,0.17,11818,532.452,10
Comedy,Bill Hicks,I Love My Job (Live),39Z1G5384UgGa5vmW6WyxC,17,0.965,0.502,287973,0.804,9.56e-05,7,0.902,-9.935,1,0.807,104.576,3.0,0.185,1424,313.72799999999995,7
Children's Music,Sugar Kane Music,How Much Is That Doggy In The Window?,4jqa6EVFnjnnzP1Ud5Kmkx,16,0.715,0.787,133787,0.224,0.0,11,0.138,-9.607,1,0.0366,146.054,3.0,0.657,11871,438.16200000000003,4
Pop,Justin Timberlake,Morning Light,3KnLHwhRhJGuQM822JVSoI,63,0.382,0.62,243040,0.497,0.0482,9,0.193,-9.585,0,0.119,155.908,4.0,0.55,6617,623.632,17
Hip-Hop,Lil Keke,Chunk Up the Deuce (feat. U.G.K. & Paul Wall),5i0n3xtjuVFLp646joI9XS,51,0.0298,0.929,299733,0.61,0.0,11,0.0958,-6.064,0,0.321,136.081,4.0,0.868,7526,544.324,12
Country,Cole Swindell,Get Up,0xcNCh68MRPmaY9c8m5SuH,41,0.0709,0.57,161040,0.715,0.0,1,0.0745,-3.399,1,0.044,148.032,4.0,0.831,2639,592.128,8
Soul,Hayden James,Something About You - ODESZA Remix,6vjWim6xU6tPjA42GxSp1U,65,0.0216,0.709,343800,0.669,0.0125,11,0.146,-8.422,0,0.0409,105.004,4.0,0.106,5125,420.016,24
Comedy,Martin Lawrence,Wash Yo' Ass,2w7G8KNE2lKD0bitsvhoyi,18,0.66,0.648,72800,0.414,0.0,10,0.882,-20.418,1,0.949,88.283,4.0,0.524,8258,353.132,7
Ska,Reel Big Fish,Where Have You Been - Live,2n3uYpguVyFKj1txkUyDXg,19,0.167,0.529,450093,0.643,5.78e-06,9,0.355,-7.51,0,0.0415,96.536,4.0,0.664,10402,386.144,23
Anime,Ayumi Hamasaki,teddy bear,26h3quLOSrdc1AvJGPjqUr,27,0.938,0.543,258100,0.339,1.12e-05,8,0.351,-8.523,1,0.0365,110.981,3.0,0.367,1010,332.943,2
R&B,LEISURE,Tied Up,5gQbAyvNJMGoyAGOcwXI6x,20,0.175,0.807,185173,0.594,0.0591,9,0.32,-7.945,1,0.0295,130.086,4.0,0.83,7174,520.344,18
Ska,Rancid,East Bay Night - Acoustic,0fJH378O6bjtlXaznTzu0L,27,0.8,0.631,127227,0.66,0.0,2,0.137,-7.478,1,0.0257,97.159,4.0,0.614,10304,388.636,23
Soul,Palace,Veins,1UsXMQwIzCKSk6oIdRE5Jc,47,0.349,0.429,269975,0.273,0.0384,0,0.111,-9.719,1,0.0287,110.161,3.0,0.112,9655,330.483,24
Opera,Dame Joan Sutherland,Handel: Rodelinda: Ritorna o caro,3GPzpZlnHgUfBPkuEtQymR,10,0.963,0.249,284173,0.257,0.111,8,0.12,-15.19,1,0.0445,79.599,4.0,0.115,2950,318.396,16
