UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,Cluster,track_name,artist_name
5.5708337,0.1859664,9.613307,6.5310473,5.8229427,2.9663022,0,My Time's Comin',A Thousand Horses
8.953089,6.478329,2.9969306,5.6973476,5.221981,3.6403615,1,House Tour,Mark Mothersbaugh
5.894743,0.29259747,9.119182,4.8028617,4.4580154,3.2487202,0,We Can't Fall (Remix) [feat. J. Patz],Unified Highway
6.1188073,-0.08237818,8.559562,5.5338817,5.7986274,2.8317966,0,Endz - Original Mix,Stooki Sound
-0.48712242,4.2277484,8.488582,5.182135,6.387032,3.8524318,0,I Love My Job (Live),Bill Hicks
5.431578,1.3487312,7.3660903,4.7292943,5.9054985,4.0546536,0,How Much Is That Doggy In The Window?,Sugar Kane Music
6.0647397,0.5044445,9.245249,5.600413,4.238043,4.2782755,0,Morning Light,Justin Timberlake
5.8077345,0.17436117,8.7663555,5.153508,4.7068624,4.721481,0,Chunk Up the Deuce (feat. U.G.K. & Paul Wall),Lil Keke
5.6311703,0.20726375,9.78657,6.2602997,6.0908775,3.2738955,0,Get Up,Cole Swindell
4.377121,-0.1086789,7.7850647,4.9166846,5.021854,4.970386,0,Something About You - ODESZA Remix,Hayden James
-0.35729396,4.0035696,8.197309,4.869629,6.4287434,4.160473,0,Wash Yo' Ass,Martin Lawrence
4.7869534,-0.39224705,8.149232,3.8551533,4.536736,4.5789895,0,Where Have You Been - Live,Reel Big Fish
4.796601,1.9038699,5.8612695,4.76174,5.957095,3.7928503,1,teddy bear,Ayumi Hamasaki
5.2127213,0.22252046,8.847458,4.7901664,4.7786093,4.540929,0,Tied Up,LEISURE
4.2330923,0.27097827,8.143099,4.0992656,5.2660875,3.0200677,0,East Bay Night - Acoustic,Rancid
4.9397798,1.0928748,6.1655107,5.002331,4.8967304,3.006115,1,Veins,Palace
4.602272,1.823164,5.1141305,4.678863,5.66165,3.5962472,1,Handel: Rodelinda: Ritorna o caro,Dame Joan Sutherland
4.4825096,0.17712183,9.129814,4.980045,5.2920146,4.4657354,0,Pimper's Paradise,Bob Marley & The Wailers
6.597387,-0.20696549,8.527916,5.88439,5.872015,3.9323285,0,Basic,Sigrid
3.839005,-0.3726047,7.7142262,4.5595303,4.6400304,4.45957,0,Parking Lot,HUNNY
4.8952646,0.28645688,8.765492,4.517387,4.947692,4.350166,0,Sufferin' In The Land,Jimmy Cliff
5.670932,0.4132753,9.078621,4.9742627,4.6661477,2.9428868,0,Earth Alert,Richie Spice
9.238096,6.3980126,3.0392325,5.544709,5.6544514,4.190672,1,I Know What I Have To Do,Jeff Beal
9.3146105,6.4985113,3.0913436,5.6166778,5.287464,3.6740746,1,A Steep But Beautiful Climb,Randy Edelman
5.8151956,-0.036198054,8.69908,4.5883408,5.943914,2.8819788,0,Wonder,Natalie Merchant
6.289905,-0.36495537,8.44293,5.395833,6.9708138,3.9517996,0,Tactics - Remastered,THE YELLOW MONKEY
5.249606,0.26391152,9.476542,6.01346,4.457349,4.280913,0,Terror,8 Kalacas
3.6562376,-0.29784876,7.8804126,4.6809745,5.0058937,3.4210832,0,Knife Prty,Deftones
5.042573,0.30545056,9.39252,6.1306705,5.1075826,3.0310192,0,Self Reliance,Demarco
5.9543195,0.38739055,9.105846,5.891877,3.7148461,3.8427792,0,Everything Is Alright,Motion City Soundtrack
5.9120398,-0.19315219,8.061784,5.0417495,6.710121,2.7987165,0,Gringo Honeymoon,Robert Earl Keen
5.1818137,1.5976013,7.2969236,4.920444,6.0965405,3.4028547,0,Your Biggest Fan,Never Shout Never
5.6173472,0.14974827,7.0585723,4.7442217,6.4124455,3.9816847,0,Just Sayin/I Tried,The Internet
4.840455,-0.39774805,8.207787,3.9578145,4.500457,4.6485395,0,Stone Rollin',Raphael Saadiq
4.901052,0.2684125,9.169259,5.6094155,4.9866357,3.1224003,0,Modern Slavery,Huncho Jack
6.01768,-0.14981753,8.87046,4.9770064,6.396316,2.7701066,0,You Won't See Me,Music For Little People Choir
5.169385,0.77104485,8.990298,5.665592,4.821154,3.4793506,0,Restless,Jinsang
4.6778464,0.8302776,6.1612306,4.7898593,5.01392,3.3291357,0,Here I Am To Worship - Live,Passion
6.341596,-0.14061524,8.741763,5.756887,6.2071004,2.6134953,0,show me,San Holo
8.8423195,6.248104,3.422276,5.130352,6.3241606,3.8595154,1,3 Gymnopedies (orch. Debussy): Gymnopedie No. 2,Erik Satie
5.5008016,0.16303965,6.97721,4.555079,5.3384256,4.3706512,0,Let Go Today,Shoffy
5.7613125,-0.28135014,7.918557,5.198223,6.9274964,3.0390148,0,My Way (A Mi Manera),Robin Williams
9.0436945,5.912946,4.0751143,5.285935,6.032608,3.8007746,1,Monster Hunter,Capcom Sound Team
6.030322,0.6352444,8.286683,6.0870724,4.779269,4.1439714,0,Deep Love,Lady Lamb
9.192881,6.2030053,2.950899,5.524497,5.7925735,4.0228987,1,Lohengrin: Prelude to Act 1,Richard Wagner
4.9049478,0.6171286,7.071275,4.8350706,6.419644,3.0709863,0,Santa Baby,Kellie Pickler
8.685751,6.4863667,3.1806593,5.649511,5.23437,3.6159658,1,The Road of Trials,Austin Wintory
4.7360644,-0.42398942,8.363984,5.598425,7.1135225,3.8193243,0,Suburban War,Arcade Fire
4.495845,0.019163258,9.312788,5.3658395,6.217656,3.695129,0,Never in My Wildest Dreams,Dan Auerbach
4.8622365,2.0348659,5.489794,5.001562,5.6382227,3.1543124,1,La chanson de Bambi,Jean Claude Corbel
-0.63225585,4.174084,8.344326,4.9649506,6.5586333,4.0178647,0,Vodka & Cigarettes,Mike Baldwin
4.145182,0.24150857,8.258383,4.1251044,5.307254,3.0567882,0,Hice It Up,Lady Saw
9.001224,5.4802423,4.52165,5.620268,5.7686815,4.0404906,1,Chrome Country,Oneohtrix Point Never
8.572626,6.4028153,3.2853243,5.353184,5.8730297,3.9671419,1,Fiction Dawn,Deaf Center
4.302493,1.3867193,7.665447,4.819774,5.7226667,3.1690004,0,I Love to Travel,Nathan Lane
9.281502,6.4352555,3.0019655,5.509285,5.7050376,4.1811547,1,The Princess Appears,John Williams
6.4894676,-0.25998074,9.218882,6.3441863,6.554992,4.038063,0,UEHARA -FUTOSHI-,MAXIMUM THE HORMONE
6.1807632,-0.32905772,8.937509,5.9735084,6.824094,4.087151,0,破滅のオレンジ,"Kami-sama, I have noticed"
4.714258,0.24070163,9.222892,5.407496,5.0385575,3.4928472,0,Uh Uh,Blac Youngsta
6.508544,-0.11347939,9.019089,6.178224,6.3191614,2.9450397,0,It Is Finished - Live,Passion
5.669751,0.33585143,8.349485,5.858746,4.716249,4.678602,0,Hiding Place,Jordan Rakei
9.111269,6.2950325,2.8467152,5.631944,5.5814915,4.033983,1,The Crypt,Philip Glass
4.6209755,-0.24274759,8.83664,5.458469,6.3006506,3.2012293,0,Need You,Dillon Francis
4.722508,0.24115768,9.118261,5.9351153,5.315292,2.9882512,0,I Just Wanna (feat. Mac Miller),Chief Keef
5.056459,1.0395118,7.5061755,4.3669176,5.6784286,3.9464269,0,Call Me,Pink Sweat$
6.055057,0.5467129,8.256535,5.7928805,3.9173791,3.9431407,0,Wild Horses,The Flying Burrito Brothers
-0.50202996,4.0524335,8.227632,4.8518205,6.5431404,4.1382895,0,"Prairie Dogs, Sweet Soap",Todd Barry
-0.7159577,4.233757,8.419678,5.0523186,6.568873,3.936015,0,Victoria's Secret,Jeff Foxworthy
4.673172,-0.45231104,8.204605,4.0113077,4.732936,3.05773,0,Sometimes Enough,The Black Seeds
4.998805,-0.3721866,8.723594,5.2040057,6.67743,4.316272,0,Who Do You Think You Are?,Lake Street Dive
8.86465,5.160941,5.1868978,5.5213633,5.4814568,4.00034,0,Beneath The Dunes,Real Estate
5.172715,-0.42830363,8.066881,3.9316895,5.2019663,4.5069575,0,I'll Be Around,Russ Freeman
5.0063925,-0.2572207,7.831899,4.058974,5.639367,4.5113235,0,Pimp Juice,Nelly
9.322336,6.3419113,3.3033943,5.5463953,5.5805626,4.2412095,1,"Theme - From ""Jurassic Park""",John Williams
8.763233,6.191235,3.2921906,5.5904408,5.383226,3.6247673,1,No Woman,Whitney
5.1691303,1.0220938,7.4521136,4.380819,5.6621246,4.0331426,0,My Only One (No Hay Nadie Más),Sebastian Yatra
6.664064,-0.24361622,8.453703,5.8650656,5.9734707,4.039018,0,You Said (feat. Quavo),Young Thug
4.544533,-0.1994173,8.736102,5.247971,6.6327634,4.318785,0,The Death of Me,City and Colour
3.768292,0.39936352,7.3869395,4.6917896,5.4905148,3.3449624,0,Me And Those Dreamin' Eyes Of Mine,D'Angelo
5.1281257,1.3192557,7.591108,4.73248,6.24227,3.9191542,0,Fiddle Dee Dee,Juice Music
4.963033,1.4823592,6.997316,4.749511,6.269754,3.3828094,0,"Bright Lights, Big City",Jimmy Reed
9.393737,6.4105887,2.8898234,5.612304,5.5243583,3.9506712,1,Garden Scene,Randy Edelman
5.9198904,-0.07453571,8.716593,4.6394987,6.0596695,2.874597,0,Simple Science - Radio Edit,Zero 7
5.971169,0.04570659,8.749826,4.6125417,6.0220017,2.912738,0,Mixer at Delta Chi,Stephen Lynch
3.593526,0.060075693,8.02031,4.5137973,5.5767016,4.7295756,0,So Far So Good,Benny Sings
5.3921194,0.4825507,9.525734,6.258814,5.087092,3.140242,0,Real Peach,Henry Jamison
5.033239,-0.53770274,7.95616,3.7721262,5.0964565,4.384632,0,Ready Now,The Cat Empire
8.798171,5.8420033,4.3551373,5.180685,5.9962373,3.7247376,1,Everything Apart,Foxwarren
5.2226744,-0.22604874,8.502364,4.0008574,4.475033,4.211723,0,Over My Shoulder,Two Another
5.122203,1.1111375,6.4685516,5.1379,4.7154174,2.9280968,0,"Psalm 23 (Surely Goodness, Surely Mercy)",Shane & Shane
5.4112115,1.5597085,8.088256,5.568466,5.501273,3.4347835,0,"I'm No Fool (As a Pedestrian) / Stop, Look and Listen",Cliff Edwards
4.3698797,0.33411318,7.7695065,5.106591,6.2322807,3.1763961,0,Untitled (How Does It Feel),D'Angelo
4.777698,-0.46710533,8.23513,5.7207184,7.199947,3.97133,0,Pulaski,Andrew Bird
6.133893,0.50275093,9.219121,5.428903,4.0077963,4.262288,0,Starvation,The Pioneers
4.620237,1.4314443,5.674574,4.7614903,5.387094,3.790361,1,Hands,Brandt Orange
4.3995194,-0.25764522,7.6460967,4.4775634,4.9851627,4.876091,0,All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill
8.908475,6.1560984,3.8405554,5.417274,5.63851,4.0950027,1,The Path (A New Beginning),Gustavo Santaolalla
5.7378287,0.45571798,7.92945,5.0700507,4.7639527,4.473098,0,Jackie Chan,Preme
4.3265395,-0.11348953,8.155309,4.3859653,5.0845456,4.7952776,0,Easy Way Out,LEISURE
5.36428,0.023224557,7.603884,4.450529,6.355723,4.1577525,0,The Alphabet Song,The Countdown Kids
5.4210615,0.5340895,6.595207,4.687215,5.741405,4.152941,0,"Gimme, Gimme (Live)",Susan Egan
8.169482,6.0264225,3.1223638,5.592065,5.6254573,3.7092056,1,First Rain,Teen Daze
8.9527645,5.525296,4.763085,5.592588,5.66155,4.139798,0,Sunday (B-Sides),Moby
5.628447,0.67112374,8.633478,6.289964,4.0836043,3.6556275,0,Higher + Wider + Deeper,Citipointe Live
8.295649,6.236656,3.3818097,5.5738297,5.496933,3.7846847,1,Nataraja,Jai Uttal
5.901048,0.35660294,9.324464,5.0513663,4.2523937,3.0120947,0,What You Want,THEY.
6.2713327,1.4030362,8.397164,5.980013,5.4495134,3.6122878,0,Strange Feeling,Billy Stewart
5.047146,1.3652047,6.000026,5.0904937,4.857768,3.1982512,1,Sails,Pat Barrett
